OSOURCE,STATE,ZIP,CLUSTER,HOMEOWNR,GENDER,DATASRCE,SOLIH,VETERANS,RFA_2,RFA_2R,GEOCODE2,DOMAIN_A,DOMAIN_B
GRI,IL,61081,36.0,U,F,0,,,L4E,L,C,T,2
BOA,CA,91326,14.0,H,M,3.0,,,L2G,L,A,S,1
AMH,NC,27017,43.0,U,M,3.0,,,L4E,L,C,R,2
BRY,CA,95953,44.0,U,F,3.0,,,L4E,L,C,R,2
,FL,33176,16.0,H,F,3.0,12.0,,L2F,L,A,S,2
CWR,OTHER,35603,40.0,U,,0,,,L1F,L,C,T,2
DRK,IN,46755,40.0,H,F,3.0,,,L1E,L,D,T,2
NWN,OTHER,70611,39.0,U,F,1.0,,,L3E,L,C,T,2
LIS,OTHER,51033,45.0,U,M,3.0,,,L1F,L,D,R,2
MSD,OTHER,37127-,35.0,U,M,0,,,L1F,L,B,T,1
AGR,OTHER,67335,53.0,U,F,1.0,,,L1F,L,D,R,3
CSM,IN,46220,17.0,U,M,3.0,,,L2F,L,B,S,2
ENQ,OTHER,56475,51.0,H,F,3.0,,,L4D,L,D,R,3
HCC,OTHER,70791,40.0,U,M,0,12.0,,L1G,L,B,T,2
USB,OTHER,84720,35.0,H,M,3.0,,,L1F,L,D,T,1
FRC,CA,90056,2.0,H,M,1.0,,,L1F,L,A,U,1
RKB,MI,48067,20.0,U,M,3.0,,,L2F,L,A,S,2
PCH,IL,62376,43.0,U,F,2.0,,,L1G,L,C,R,2
AMB,FL,32810,16.0,H,F,3.0,,,L1F,L,B,S,2
L15,NC,27850,27.0,U,M,0,,,L1F,L,C,C,2
BBK,OTHER,55125,12.0,H,F,3.0,,,L3D,L,A,S,1
L21,MI,49247,43.0,U,M,3.0,,,L1G,L,C,R,2
SYN,FL,33983,40.0,U,,0,,,L1G,L,C,T,2
L01,IL,60042,22.0,U,F,0,,,L2E,L,A,C,1
MOP,OTHER,55044,35.0,H,F,3.0,,,L3E,L,A,T,1
UCA,CA,93527-,35.0,H,M,3.0,,,L2F,L,B,T,1
ESN,IL,60091,13.0,H,F,2.0,,,L1G,L,A,S,1
L01,MO,64468,35.0,H,M,3.0,,,L3E,L,D,T,1
