,OSOURCE,STATE,ZIP,CLUSTER,HOMEOWNR,GENDER,DATASRCE,SOLIH,VETERANS,RFA_2,RFA_2R,GEOCODE2,DOMAIN_A,DOMAIN_B
0,GRI,IL,61081,36,U,F,3,,,L4E,L,C,T,2
1,BOA,CA,91326,14,H,M,3,,,L2G,L,A,S,1
2,AMH,NC,27017,43,U,M,3,,,L4E,L,C,R,2
3,BRY,CA,95953,44,U,F,3,,,L4E,L,C,R,2
4,,FL,33176,16,H,F,3,12,,L2F,L,A,S,2
5,CWR,OTHER,35603,40,U,,3,,,L1F,L,C,T,2
6,DRK,IN,46755,40,H,F,3,,,L1E,L,D,T,2
7,NWN,OTHER,70611,39,U,F,1,,,L3E,L,C,T,2
8,LIS,OTHER,51033,45,U,M,3,,,L1F,L,D,R,2
9,MSD,OTHER,37127-,35,U,M,3,,,L1F,L,B,T,1
10,AGR,OTHER,67335,53,U,F,1,,,L1F,L,D,R,3
11,CSM,IN,46220,17,U,M,3,,,L2F,L,B,S,2
12,ENQ,OTHER,56475,51,H,F,3,,,L4D,L,D,R,3
13,HCC,OTHER,70791,40,U,M,3,12,,L1G,L,B,T,2
14,USB,OTHER,84720,35,H,M,3,,,L1F,L,D,T,1
15,FRC,CA,90056,2,H,M,1,,,L1F,L,A,U,1
16,RKB,MI,48067,20,U,M,3,,,L2F,L,A,S,2
17,PCH,IL,62376,43,U,F,2,,,L1G,L,C,R,2
18,AMB,FL,32810,16,H,F,3,,,L1F,L,B,S,2
19,L15,NC,27850,27,U,M,3,,,L1F,L,C,C,2
20,BBK,OTHER,55125,12,H,F,3,,,L3D,L,A,S,1
21,L21,MI,49247,43,U,M,3,,,L1G,L,C,R,2
22,SYN,FL,33983,40,U,,3,,,L1G,L,C,T,2
23,L01,IL,60042,22,U,F,3,,,L2E,L,A,C,1
24,MOP,OTHER,55044,35,H,F,3,,,L3E,L,A,T,1
25,UCA,CA,93527-,35,H,M,3,,,L2F,L,B,T,1
26,ESN,IL,60091,13,H,F,2,,,L1G,L,A,S,1
27,L01,MO,64468,35,H,M,3,,,L3E,L,D,T,1
28,IMP,TX,77381,35,H,F,3,,,L2E,L,A,T,1
29,AVN,IL,62249,40,U,F,3,,,L3E,L,A,T,2
30,SYN,TX,77546,35,U,M,3,,,L3D,L,A,T,1
31,RMG,MO,63031,8,H,M,3,,,L2F,L,A,U,3
32,DNA,NC,27106,25,U,F,3,,,L1G,L,B,C,2
33,L04,FL,33143,15,U,F,3,,,L2F,L,A,S,1
34,AML,OTHER,97008,40,U,F,3,,,L2F,L,B,R,2
35,,OTHER,97708,42,U,M,3,,,L1F,L,C,R,1
36,AIR,TX,78748,12,H,M,3,,,L1G,L,B,S,1
37,DUR,CA,90274,11,U,F,3,,,L2G,L,A,S,1
38,LHJ,OTHER,55112,17,H,F,2,,,L3F,L,A,S,2
39,WKB,OTHER,55066-,36,H,F,3,,,L1G,L,D,T,2
40,AGR,IL,61604,28,U,F,3,,,L3G,L,B,C,2
41,STL,MI,49506,2,U,,3,,,L2E,L,B,U,1
42,DCD,WA,98006,14,H,M,3,,,L1F,L,A,S,1
43,AGR,FL,33332,35,H,M,3,,,L1F,L,A,T,1
44,IMA,WI,53221,18,H,F,3,,,L3F,L,B,S,2
45,DRK,OTHER,52402,24,H,F,3,,Y,L3D,L,C,C,1
46,GRI,OTHER,36322,40,U,F,2,,Y,L1E,L,C,R,2
47,L01,IN,46350,34,H,M,2,,Y,L1F,L,C,T,1
48,ACS,WA,98116,5,U,M,3,,,L2F,L,A,U,2
49,ALZ,TX,75606,31,H,M,2,,,L1F,L,C,C,3
50,DNA,IL,61273,44,U,F,2,12,,L2F,L,B,R,2
51,DRK,NC,27703,32,H,F,3,,,L1F,L,B,C,3
52,NEX,NC,27105,27,H,F,2,,,L3D,L,B,C,2
53,IMP,FL,33056,18,H,F,3,,,L1E,L,A,S,2
54,AGR,IL,62959,36,H,M,2,,,L1F,L,C,T,2
55,,CA,94014,46,U,F,3,,Y,L2G,L,A,R,2
56,HAR,CA,92801,3,U,F,2,,,L4E,L,A,U,1
57,SGI,OTHER,36005,50,H,F,2,,,L1F,L,D,R,3
58,MBC,TX,75217,18,U,M,3,,,L2F,L,A,S,2
59,BSH,IN,46987,44,H,F,2,,Y,L1F,L,C,R,2
60,BOA,TX,77515,40,H,M,3,,Y,L1F,L,A,T,2
61,NAD,GA,31322,44,H,F,2,,,L1F,L,B,R,2
62,HOS,OTHER,73456,53,H,M,2,,,L2F,L,D,R,3
63,GRI,TX,76028,40,H,F,3,,Y,L1F,L,A,T,2
64,HHL,GA,31816,46,H,M,3,,,L1F,L,D,R,2
65,GRT,NC,28105,17,H,F,3,,,L4D,L,B,S,2
66,L01,FL,34231,28,U,M,3,,,L2G,L,B,C,2
67,GRI,IL,62022,43,U,,3,,,L1E,L,A,R,2
68,L02,CA,92868,7,U,F,3,,,L1G,L,A,U,2
69,APP,IN,47635,45,U,M,2,,,L1G,L,D,R,2
70,IMP,CA,95966,37,H,F,2,,,L3D,L,C,T,2
71,DAC,OTHER,29020,40,H,C,3,,Y,L1G,L,D,T,2
72,NWN,OTHER,40222,14,U,F,2,,,L1F,L,B,S,1
73,BRY,NC,28713,53,U,F,3,,Y,L1F,L,D,R,3
74,APP,CA,92163,10,H,M,2,12,,L2E,L,A,U,4
75,BHG,MI,48302,24,H,F,3,,,L3F,L,A,C,1
76,AIR,OTHER,21045,38,U,F,3,,,L1G,L,A,T,2
77,IMP,IL,60406,21,H,M,2,,,L3E,L,A,S,3
78,BHG,CA,92625,13,H,F,2,,,L2F,L,A,S,1
79,AMB,FL,33319,9,H,F,3,,,L2F,L,A,U,3
80,USB,WI,53562,11,H,M,1,,,L1G,L,B,S,1
81,L01,FL,34222,28,U,M,1,,,L1F,L,B,C,2
82,NSH,TX,75082,11,H,F,3,,,L3E,L,A,S,1
83,NPT,OTHER,57783-,46,U,M,2,,,L1F,L,D,R,2
84,DNA,CA,92805,7,U,F,3,,,L1F,L,A,U,2
85,L16,GA,30738,43,U,F,1,,Y,L1F,L,B,R,2
86,L01,CA,90703,3,H,F,3,,,L2F,L,A,U,1
87,ESN,OTHER,42001,28,H,M,1,,Y,L1F,L,C,C,2
88,RMG,FL,33433,29,H,F,3,,,L1G,L,B,C,2
89,IMP,TX,79602,30,H,F,3,,,L1G,L,C,C,3
90,BOA,OTHER,89504,25,U,M,3,,,L1G,L,B,C,2
91,PV3,NC,28644,45,H,F,2,,Y,L1F,L,D,R,2
92,CWR,OTHER,40214,31,H,M,3,,,L4D,L,B,C,3
93,L01,GA,30032,18,H,M,3,,,L3E,L,A,S,2
94,AML,OTHER,97470,27,H,M,3,,,L4E,L,C,C,2
95,GRI,OTHER,68061-,45,U,F,3,,,L1E,L,D,R,2
96,LOG,OTHER,85365,36,H,F,3,,,L1F,L,C,T,2
97,ASC,MO,64841,40,U,M,3,,,L4D,L,C,T,2
98,DNA,FL,34239,29,H,F,3,12,,L1E,L,B,C,2
99,AGS,CA,90045,13,U,M,3,,,L1F,L,A,S,1
100,BHG,FL,33736,4,U,F,2,12,,L2F,L,A,U,2
101,ARG,OTHER,23005-,12,U,F,2,,,L3E,L,B,S,1
102,DON,CA,90220,10,H,F,3,,,L2G,L,A,U,4
103,AMB,OTHER,29374,44,U,M,2,,,L2E,L,B,R,2
104,ASC,TX,75043,3,H,F,3,,,L1G,L,A,U,1
105,VIK,CA,90024,22,U,F,3,,,L2G,L,A,C,1
106,AGR,OTHER,70435,41,U,F,3,,,L4D,L,B,T,3
107,MBC,FL,32073,18,H,M,3,12,,L1G,L,B,S,2
108,ARB,OTHER,58033,51,U,F,2,,,L1F,L,D,R,3
109,ESN,CA,92545,13,H,M,3,,,L1G,L,A,S,1
110,BHG,TX,79762,24,U,U,1,,,L1E,L,C,C,1
111,HHH,TX,76252,49,H,M,3,12,,L1F,L,D,R,2
112,ANT,NC,28379,36,H,F,3,,,L1F,L,D,T,2
113,STL,CA,94901,24,H,M,2,,,L2G,L,A,C,1
114,L01,OTHER,89014,12,H,F,3,,Y,L1F,L,B,S,1
115,SYN,OTHER,36608,13,H,M,3,,,L1G,L,B,S,1
116,MBC,OTHER,70711,43,H,M,3,,,L3G,L,B,R,2
117,WRG,OTHER,73159,24,H,F,3,,,L3E,L,B,C,1
118,,TX,77079,13,H,M,3,12,,L1G,L,A,S,1
